Taxa,lat,lon
Leuctra_digitata_1,70.443,27.348
Leuctra_digitata_2,70.4258,27.8752
Leuctra_digitata_3,61.4015,8.89218
Leuctra_digitata_4,69.231,29.161
Leuctra_digitata_5,60.982,10.642
Leuctra_digitata_6,59.8955,10.8755
Leuctra_digitata_7,42.682,22.366
Leuctra_digitata_8,70.1776,28.6105
Leuctra_digitata_9,69.401,29.7192
Leuctra_digitata_10,70.028,23.395
Leuctra_digitata_11,60.014,10.777
Leuctra_digitata_12,70.0279,23.3947
Leuctra_digitata_13,61.919,11.928
Leuctra_digitata_14,47.935,19.9
Leuctra_digitata_15,69.805,23.489
Leuctra_digitata_16,47.821,11.904
Leuctra_digitata_17,50.662,9.624
Leuctra_digitata_18,48.32,11.813
Leuctra_digitata_19,65.148,25.838
Leuctra_digitata_20,70.028,23.395
Leuctra_digitata_21,70.028,23.395
Leuctra_digitata_22,65.148,25.838
Leuctra_digitata_23,69.401,29.7192
Leuctra_digitata_24,65.148,25.838
Leuctra_digitata_25,60.014,10.777
Leuctra_digitata_26,70.0279,23.3947
Leuctra_digitata_27,61.919,11.928
Leuctra_digitata_28,47.935,19.9
Leuctra_digitata_29,69.805,23.489
Leuctra_digitata_30,47.821,11.904
Leuctra_digitata_31,50.662,9.624
Leuctra_digitata_32,48.32,11.813
Leuctra_digitata_33,65.148,25.838
Leuctra_digitata_34,50.662,9.624
Leuctra_digitata_35,50.662,9.624
Leuctra_digitata_36,61.919,11.928
Leuctra_digitata_37,65.148,25.838
Leuctra_digitata_38,65.148,25.838
Leuctra_digitata_39,69.401,29.7192
Leuctra_digitata_40,61.919,11.928
