gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
998655154	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620830	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	38.7	1.45	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620830				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.220Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998655126	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620833	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	38.7	1.56	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620833				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.092Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998655118	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620832	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	38.61	1.56	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620832				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.058Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998655115	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620826	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	38.61	1.33	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620826				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:49.745Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
998655112	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620827	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	38.7	1.33	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620827				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.114Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
998655105	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620825	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.4	-2.69	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620825				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.270Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998655098	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620831	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	38.79	1.45	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620831				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.282Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998655096	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620823	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.3	-1.95	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620823				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.204Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998655094	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620828	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	38.79	1.33	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620828				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.418Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
998655084	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	620824	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis pityusensis		SPECIES	Podarcis pityusensis (Boscá, 1883)	Podarcis pityusensis		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.49	-2.81	7071.0										2469028	2469028	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	620824				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.319Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
