gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3089958425	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1007	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.253743	3.360915	0.11	1.0E-6					2005-07-28T07:54:00	28	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1007	807_1007		2005-07-28T07:54:00	CC_BY_NC_4_0					2023-01-25T12:51:05.654Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958424	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1006	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.263796	3.352171	0.11	1.0E-6					2005-07-28T07:34:00	28	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1006	807_1006		2005-07-28T07:34:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958423	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1008	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.248437	3.357428	0.11	1.0E-6					2005-07-28T08:14:00	28	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1008	807_1008		2005-07-28T08:14:00	CC_BY_NC_4_0					2023-01-25T12:51:05.654Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958422	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1003	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.611191	2.151712	0.11	1.0E-6					2007-07-27T17:54:00	27	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1003	807_1003		2007-07-27T17:54:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958421	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1004	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.248094	3.330193	0.11	1.0E-6					2005-07-28T07:05:00	28	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1004	807_1004		2005-07-28T07:05:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958420	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1005	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.255926	3.343288	0.11	1.0E-6					2005-07-28T07:14:00	28	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1005	807_1005		2005-07-28T07:14:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958419	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1001	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.610066	2.13595	0.11	1.0E-6					2007-07-27T17:16:00	27	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1001	807_1001		2007-07-27T17:16:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958418	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_832	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.472163	0.636805	0.11	1.0E-6					2006-07-22T19:38:00	22	7	2006	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_832	807_832		2006-07-22T19:38:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958417	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1002	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.610226	2.146018	0.11	1.0E-6					2007-07-27T17:35:00	27	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1002	807_1002		2007-07-27T17:35:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089958416	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_1009	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.23707	3.357428	0.11	1.0E-6					2005-07-28T08:34:00	28	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_1009	807_1009		2005-07-28T08:34:00	CC_BY_NC_4_0					2023-01-25T12:51:05.653Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
